symptom,precision,recall,f1,support,predicted_positive
고열,0.7680412371134021,0.5747348119575699,0.6574738003309432,1037,776
구토,0.7278688524590164,0.49720044792833146,0.590818363273453,893,610
두통,0.6493506493506493,0.43029259896729777,0.5175983436853002,581,385
복통,0.8582541054451167,0.7333825701624815,0.7909199522102748,1354,1157
어지러움,0.7395626242544732,0.5872138910812944,0.6546414430268368,1267,1006
열상,0.8850574712643678,0.8888888888888888,0.8869690424766019,693,696
오심,0.5038759689922481,0.09730538922155689,0.16311166875784192,668,129
전신쇠약,0.6422569027611045,0.5037664783427496,0.5646437994722955,1062,833
호흡곤란,0.7146892655367232,0.6445859872611465,0.6778298727394507,785,708
