symptom,precision,recall,f1,support,predicted_positive
고열,0.8266666666666667,0.5380906460945034,0.6518691588785047,1037,675
구토,0.7921810699588477,0.4311310190369541,0.5583756345177665,893,486
두통,0.7511111111111111,0.2908777969018933,0.41935483870967744,581,225
복통,0.9137931034482759,0.7045790251107829,0.7956630525437864,1354,1044
어지러움,0.7976878612716763,0.5445935280189423,0.6472795497185742,1267,865
열상,0.9138972809667674,0.873015873015873,0.8929889298892989,693,662
오심,0.603448275862069,0.05239520958083832,0.09641873278236915,668,58
전신쇠약,0.693939393939394,0.4312617702448211,0.5319396051103368,1062,660
호흡곤란,0.7773972602739726,0.578343949044586,0.6632578524470416,785,584
