symptom,precision,recall,f1,support,predicted_positive
고열,0.8193832599118943,0.5380906460945034,0.6495925494761351,1037,681
구토,0.7871485943775101,0.43896976483762595,0.5636232925952552,893,498
두통,0.7584745762711864,0.3080895008605852,0.43818849449204406,581,236
복통,0.9084905660377358,0.7112259970457903,0.7978458989229494,1354,1060
어지러움,0.8025851938895417,0.5390686661404893,0.6449480642115203,1267,851
열상,0.9067669172932331,0.8701298701298701,0.8880706921944035,693,665
오심,0.5454545454545454,0.04491017964071856,0.08298755186721991,668,55
전신쇠약,0.6970588235294117,0.4463276836158192,0.5442020665901263,1062,680
호흡곤란,0.7646103896103896,0.6,0.6723768736616702,785,616
