symptom,precision,recall,f1,support,predicted_positive
고열,0.7602564102564102,0.5718418514946962,0.6527242707760044,1037,780
구토,0.715702479338843,0.48488241881298993,0.5781041388518025,893,605
두통,0.6519337016574586,0.40619621342512907,0.5005302226935313,581,362
복통,0.8647936786654961,0.7274741506646972,0.7902125952667469,1354,1139
어지러움,0.7573904179408767,0.5864246250986582,0.6610320284697508,1267,981
열상,0.8931185944363104,0.8802308802308803,0.8866279069767442,693,683
오심,0.4652777777777778,0.10029940119760479,0.16502463054187191,668,144
전신쇠약,0.6219653179190752,0.5065913370998116,0.5583809029579657,1062,865
호흡곤란,0.7045769764216366,0.6471337579617834,0.6746347941567065,785,721
