symptom,precision,recall,f1,support,predicted_positive
고열,0.6830543933054394,0.6297010607521697,0.65529352734571,1037,956
구토,0.6221419975932612,0.5789473684210527,0.5997679814385151,893,831
두통,0.5211505922165821,0.5301204819277109,0.5255972696245734,581,591
복통,0.8166007905138339,0.7629246676514032,0.7888507063764796,1354,1265
어지러움,0.6798706548100243,0.6637726913970008,0.6717252396166135,1267,1237
열상,0.8683473389355743,0.8946608946608947,0.8813077469793887,693,714
오심,0.35650887573964496,0.36077844311377244,0.3586309523809524,668,676
전신쇠약,0.5523012552301255,0.6214689265536724,0.5848471422241914,1062,1195
호흡곤란,0.6628041714947857,0.7286624203821656,0.6941747572815534,785,863
