symptom,precision,recall,f1,support,predicted_positive
고열,0.8264094955489614,0.5371263259402121,0.6510812390414962,1037,674
구토,0.7900207900207901,0.425531914893617,0.5531295487627366,893,481
두통,0.7521008403361344,0.3080895008605852,0.4371184371184371,581,238
복통,0.9104908565928778,0.6986706056129985,0.790639364814041,1354,1039
어지러움,0.7993119266055045,0.5501183898973955,0.6517064048620851,1267,872
열상,0.9071537290715372,0.86002886002886,0.882962962962963,693,657
오심,0.5833333333333334,0.041916167664670656,0.0782122905027933,668,48
전신쇠약,0.680119581464873,0.4284369114877589,0.5257076834199884,1062,669
호흡곤란,0.7835570469798657,0.5949044585987261,0.6763215061549602,785,596
