experiment,macro_f1,nausea_precision,nausea_recall,nausea_f1
tfidf_fixed,0.47057395848561395,0.3469387755102041,0.025449101796407185,0.04741980474198047
raw,0.6074746100767916,0.4652777777777778,0.10029940119760479,0.16502463054187191
raw_ensemble,0.5868706093345915,0.5454545454545454,0.04491017964071856,0.08298755186721991
boundary,0.6113810053825407,0.5076923076923077,0.09880239520958084,0.16541353383458646
boundary_ensemble,0.5829866041821667,0.5833333333333334,0.041916167664670656,0.0782122905027933
