symptom,precision,recall,f1,support,predicted_positive
고열,0.7744845360824743,0.579556412729026,0.6629895201323773,1037,776
구토,0.7294117647058823,0.48600223964165734,0.5833333333333334,893,595
두통,0.6490765171503958,0.423407917383821,0.5125,581,379
복통,0.8666666666666667,0.7296898079763663,0.7923015236567763,1354,1140
어지러움,0.7408866995073892,0.5935280189423836,0.6590709903593339,1267,1015
열상,0.89067055393586,0.8816738816738817,0.8861493836113126,693,686
오심,0.5076923076923077,0.09880239520958084,0.16541353383458646,668,130
전신쇠약,0.6222222222222222,0.5009416195856874,0.5550339071465832,1062,855
호흡곤란,0.7322720694645442,0.6445859872611465,0.6856368563685636,785,691
