symptom,precision,recall,f1,support,predicted_positive
고열,0.7580025608194623,0.570877531340405,0.6512651265126512,1037,781
구토,0.7170111287758346,0.5050391937290034,0.5926412614980289,893,629
두통,0.6559139784946236,0.4199655765920826,0.5120671563483735,581,372
복통,0.8697183098591549,0.7296898079763663,0.793574297188755,1354,1136
어지러움,0.7565656565656566,0.5911602209944752,0.66371289322109,1267,990
열상,0.8823529411764706,0.8874458874458875,0.8848920863309353,693,697
오심,0.5,0.1122754491017964,0.18337408312958436,668,150
전신쇠약,0.6288056206088993,0.5056497175141242,0.5605427974947808,1062,854
호흡곤란,0.7245762711864406,0.6535031847133758,0.6872069658405894,785,708
