symptom,precision,recall,f1,support,predicted_positive
고열,0.7750952986022872,0.5882352941176471,0.668859649122807,1037,787
구토,0.7178631051752922,0.48152295632698766,0.5764075067024129,893,599
두통,0.6347607052896725,0.43373493975903615,0.5153374233128835,581,397
복통,0.8642297650130548,0.7333825701624815,0.7934478625649221,1354,1149
어지러움,0.7309546769527483,0.5982636148382005,0.6579861111111112,1267,1037
열상,0.8782234957020058,0.8845598845598845,0.8813803019410497,693,698
오심,0.44,0.09880239520958084,0.16136919315403422,668,150
전신쇠약,0.6244239631336406,0.5103578154425612,0.5616580310880829,1062,868
호흡곤란,0.7227866473149492,0.6343949044585987,0.6757123473541384,785,689
