symptom,precision,recall,f1,support,predicted_positive
고열,0.779373368146214,0.5756991321118612,0.6622296173044925,1037,766
구토,0.7381756756756757,0.48936170212765956,0.5885521885521886,893,592
두통,0.6511627906976745,0.3855421686746988,0.4843243243243243,581,344
복통,0.8611353711790393,0.7282127031019202,0.7891156462585034,1354,1145
어지러움,0.7353815659068385,0.585635359116022,0.6520210896309314,1267,1009
열상,0.8986975397973951,0.8961038961038961,0.8973988439306358,693,691
오심,0.5102040816326531,0.1122754491017964,0.18404907975460122,668,147
전신쇠약,0.6214039125431531,0.5084745762711864,0.559295701708959,1062,869
호흡곤란,0.7319587628865979,0.6331210191082802,0.6789617486338798,785,679
