symptom,precision,recall,f1,support,predicted_positive
고열,0.8422090729783037,0.4117647058823529,0.5531088082901554,1037,507
구토,0.7818791946308725,0.2609182530795073,0.39126784214945426,893,298
두통,0.7297297297297297,0.13941480206540446,0.23410404624277456,581,111
복통,0.9204927211646137,0.6070901033973413,0.7316421895861148,1354,893
어지러움,0.8215339233038348,0.43962115232833465,0.5727506426735218,1267,678
열상,0.8977695167286245,0.696969696969697,0.784727863525589,693,538
오심,0.3469387755102041,0.025449101796407185,0.04741980474198047,668,49
전신쇠약,0.7142857142857143,0.263653483992467,0.38514442916093533,1062,392
호흡곤란,0.7734939759036145,0.4089171974522293,0.535,785,415
