experiment,macro_f1,nausea_precision,nausea_recall,nausea_f1
tfidf_fixed,0.47057395848561395,0.3469387755102041,0.025449101796407185,0.04741980474198047
b0_bce,0.6106609155665017,0.5102040816326531,0.1122754491017964,0.18404907975460122
b0_bce_ensemble,0.5841274838441506,0.603448275862069,0.05239520958083832,0.09641873278236915
l1_weighted_bce,0.6400217025853308,0.35650887573964496,0.36077844311377244,0.3586309523809524
l1_weighted_bce_ensemble,0.6163643360572298,0.4756756756756757,0.1317365269461078,0.2063305978898007
