symptom,precision,recall,f1,support,predicted_positive
고열,0.7686375321336761,0.5766634522661523,0.6589531680440771,1037,778
구토,0.7426597582037997,0.48152295632698766,0.5842391304347826,893,579
두통,0.6616766467065869,0.3803786574870912,0.4830601092896175,581,334
복통,0.8929551692589204,0.7208271787296898,0.7977114834491214,1354,1093
어지러움,0.7612244897959184,0.5887924230465666,0.6639964396973743,1267,980
열상,0.8963503649635036,0.886002886002886,0.8911465892597968,693,685
오심,0.4756756756756757,0.1317365269461078,0.2063305978898007,668,185
전신쇠약,0.6309111880046137,0.5150659133709982,0.5671332296526698,1062,867
호흡곤란,0.7431059506531205,0.6522292993630573,0.694708276797829,785,689
